source,scenario,region,technology,indicator,unit,_2020,_2030,_2050
WEO2021,STEPS,China,Nuclear,VALCOE,$/MWh,65,65.0,60.0
WEO2021,STEPS,China,Coal,VALCOE,$/MWh,60,70.0,70.0
WEO2021,STEPS,China,Gas CCGT,VALCOE,$/MWh,90,105.0,95.0
WEO2021,STEPS,China,Solar PV,VALCOE,$/MWh,40,45.0,50.0
WEO2021,STEPS,China,Wind onshore,VALCOE,$/MWh,50,50.0,45.0
WEO2021,STEPS,China,Wind offshore,VALCOE,$/MWh,100,60.0,40.0
WEO2021,STEPS,India,Nuclear,VALCOE,$/MWh,70,70.0,70.0
WEO2021,STEPS,India,Coal,VALCOE,$/MWh,55,55.0,50.0
WEO2021,STEPS,India,Gas CCGT,VALCOE,$/MWh,90,80.0,75.0
WEO2021,STEPS,India,Solar PV,VALCOE,$/MWh,40,35.0,55.0
WEO2021,STEPS,India,Wind onshore,VALCOE,$/MWh,55,50.0,50.0
WEO2021,STEPS,India,Wind offshore,VALCOE,$/MWh,135,85.0,65.0
WEO2021,APS,United States,Nuclear,Capital costs,$/kW,5000,4800.0,4500.0
WEO2021,APS,United States,Coal,Capital costs,$/kW,2100,2100.0,2100.0
WEO2021,APS,United States,Gas CCGT,Capital costs,$/kW,1000,1000.0,1000.0
WEO2021,APS,United States,Solar PV,Capital costs,$/kW,1100,660.0,460.0
WEO2021,APS,United States,Wind onshore,Capital costs,$/kW,1390,1290.0,1220.0
WEO2021,APS,United States,Wind offshore,Capital costs,$/kW,4040,2440.0,1680.0
WEO2021,APS,European Union,Nuclear,Capital costs,$/kW,6600,5100.0,4500.0
WEO2021,APS,European Union,Coal,Capital costs,$/kW,2000,2000.0,2000.0
WEO2021,APS,European Union,Gas CCGT,Capital costs,$/kW,1000,1000.0,1000.0
WEO2021,APS,European Union,Solar PV,Capital costs,$/kW,840,530.0,380.0
WEO2021,APS,European Union,Wind onshore,Capital costs,$/kW,1500,1410.0,1340.0
WEO2021,APS,European Union,Wind offshore,Capital costs,$/kW,3480,2240.0,1540.0
WEO2021,APS,China,Nuclear,Capital costs,$/kW,2800,2800.0,2500.0
WEO2021,APS,China,Coal,Capital costs,$/kW,800,800.0,800.0
WEO2021,APS,China,Gas CCGT,Capital costs,$/kW,560,560.0,560.0
WEO2021,APS,China,Solar PV,Capital costs,$/kW,650,400.0,270.0
WEO2021,APS,China,Wind onshore,Capital costs,$/kW,1260,1180.0,1110.0
WEO2021,APS,China,Wind offshore,Capital costs,$/kW,2960,1820.0,1120.0
WEO2021,APS,India,Nuclear,Capital costs,$/kW,2800,2800.0,2800.0
WEO2021,APS,India,Coal,Capital costs,$/kW,1200,1200.0,1200.0
WEO2021,APS,India,Gas CCGT,Capital costs,$/kW,700,700.0,700.0
WEO2021,APS,India,Solar PV,Capital costs,$/kW,600,360.0,240.0
WEO2021,APS,India,Wind onshore,Capital costs,$/kW,1040,1010.0,990.0
WEO2021,APS,India,Wind offshore,Capital costs,$/kW,2980,1880.0,1260.0
WEO2021,APS,United States,Nuclear,Capacity factor,%,90,85.0,80.0
WEO2021,APS,United States,Coal,Capacity factor,%,30,10.0,
WEO2021,APS,United States,Gas CCGT,Capacity factor,%,50,25.0,
WEO2021,APS,United States,Solar PV,Capacity factor,%,21,22.0,23.0
WEO2021,APS,United States,Wind onshore,Capacity factor,%,42,43.0,44.0
WEO2021,APS,United States,Wind offshore,Capacity factor,%,42,46.0,48.0
WEO2021,APS,European Union,Nuclear,Capacity factor,%,75,75.0,70.0
WEO2021,APS,European Union,Coal,Capacity factor,%,25,,
WEO2021,APS,European Union,Gas CCGT,Capacity factor,%,50,40.0,
WEO2021,APS,European Union,Solar PV,Capacity factor,%,13,14.0,14.0
WEO2021,APS,European Union,Wind onshore,Capacity factor,%,29,29.0,30.0
WEO2021,APS,European Union,Wind offshore,Capacity factor,%,51,55.0,58.0
WEO2021,APS,China,Nuclear,Capacity factor,%,80,80.0,80.0
WEO2021,APS,China,Coal,Capacity factor,%,55,45.0,5.0
WEO2021,APS,China,Gas CCGT,Capacity factor,%,25,25.0,25.0
WEO2021,APS,China,Solar PV,Capacity factor,%,17,18.0,19.0
WEO2021,APS,China,Wind onshore,Capacity factor,%,26,27.0,27.0
WEO2021,APS,China,Wind offshore,Capacity factor,%,34,40.0,43.0
WEO2021,APS,India,Nuclear,Capacity factor,%,75,80.0,80.0
WEO2021,APS,India,Coal,Capacity factor,%,60,60.0,50.0
WEO2021,APS,India,Gas CCGT,Capacity factor,%,45,50.0,45.0
WEO2021,APS,India,Solar PV,Capacity factor,%,20,21.0,21.0
WEO2021,APS,India,Wind onshore,Capacity factor,%,26,28.0,29.0
WEO2021,APS,India,Wind offshore,Capacity factor,%,32,36.0,38.0
WEO2021,APS,United States,Nuclear,Fuel and O&M,$/MWh,30,30.0,30.0
WEO2021,APS,United States,Coal,Fuel and O&M,$/MWh,65,125.0,155.0
WEO2021,APS,United States,Gas CCGT,Fuel and O&M,$/MWh,40,65.0,75.0
WEO2021,APS,United States,Solar PV,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,APS,United States,Wind onshore,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,APS,United States,Wind offshore,Fuel and O&M,$/MWh,35,20.0,15.0
WEO2021,APS,European Union,Nuclear,Fuel and O&M,$/MWh,35,35.0,35.0
WEO2021,APS,European Union,Coal,Fuel and O&M,$/MWh,105,165.0,210.0
WEO2021,APS,European Union,Gas CCGT,Fuel and O&M,$/MWh,70,95.0,105.0
WEO2021,APS,European Union,Solar PV,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,APS,European Union,Wind onshore,Fuel and O&M,$/MWh,15,15.0,15.0
WEO2021,APS,European Union,Wind offshore,Fuel and O&M,$/MWh,15,10.0,10.0
WEO2021,APS,China,Nuclear,Fuel and O&M,$/MWh,25,25.0,25.0
WEO2021,APS,China,Coal,Fuel and O&M,$/MWh,45,95.0,150.0
WEO2021,APS,China,Gas CCGT,Fuel and O&M,$/MWh,80,105.0,115.0
WEO2021,APS,China,Solar PV,Fuel and O&M,$/MWh,10,5.0,5.0
WEO2021,APS,China,Wind onshore,Fuel and O&M,$/MWh,15,15.0,10.0
WEO2021,APS,China,Wind offshore,Fuel and O&M,$/MWh,25,15.0,10.0
WEO2021,APS,India,Nuclear,Fuel and O&M,$/MWh,30,30.0,30.0
WEO2021,APS,India,Coal,Fuel and O&M,$/MWh,30,35.0,30.0
WEO2021,APS,India,Gas CCGT,Fuel and O&M,$/MWh,75,75.0,80.0
WEO2021,APS,India,Solar PV,Fuel and O&M,$/MWh,5,5.0,5.0
WEO2021,APS,India,Wind onshore,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,APS,India,Wind offshore,Fuel and O&M,$/MWh,25,15.0,10.0
WEO2021,APS,United States,Nuclear,LCOE,$/MWh,105,105.0,105.0
WEO2021,APS,United States,Coal,LCOE,$/MWh,150,410.0,
WEO2021,APS,United States,Gas CCGT,LCOE,$/MWh,65,110.0,
WEO2021,APS,United States,Solar PV,LCOE,$/MWh,50,30.0,25.0
WEO2021,APS,United States,Wind onshore,LCOE,$/MWh,35,30.0,30.0
WEO2021,APS,United States,Wind offshore,LCOE,$/MWh,115,70.0,45.0
WEO2021,APS,European Union,Nuclear,LCOE,$/MWh,150,120.0,115.0
WEO2021,APS,European Union,Coal,LCOE,$/MWh,200,,
WEO2021,APS,European Union,Gas CCGT,LCOE,$/MWh,95,120.0,
WEO2021,APS,European Union,Solar PV,LCOE,$/MWh,55,35.0,30.0
WEO2021,APS,European Union,Wind onshore,LCOE,$/MWh,50,45.0,45.0
WEO2021,APS,European Union,Wind offshore,LCOE,$/MWh,75,45.0,30.0
WEO2021,APS,China,Nuclear,LCOE,$/MWh,65,65.0,60.0
WEO2021,APS,China,Coal,LCOE,$/MWh,60,115.0,290.0
WEO2021,APS,China,Gas CCGT,LCOE,$/MWh,100,125.0,135.0
WEO2021,APS,China,Solar PV,LCOE,$/MWh,35,20.0,15.0
WEO2021,APS,China,Wind onshore,LCOE,$/MWh,50,45.0,40.0
WEO2021,APS,China,Wind offshore,LCOE,$/MWh,100,55.0,30.0
WEO2021,APS,India,Nuclear,LCOE,$/MWh,70,70.0,70.0
WEO2021,APS,India,Coal,LCOE,$/MWh,55,55.0,60.0
WEO2021,APS,India,Gas CCGT,LCOE,$/MWh,90,90.0,95.0
WEO2021,APS,India,Solar PV,LCOE,$/MWh,35,20.0,15.0
WEO2021,APS,India,Wind onshore,LCOE,$/MWh,50,45.0,40.0
WEO2021,APS,India,Wind offshore,LCOE,$/MWh,135,75.0,50.0
WEO2021,NZE_2050,United States,Nuclear,Capital costs,$/kW,5000,4800.0,4500.0
WEO2021,NZE_2050,United States,Coal,Capital costs,$/kW,2100,2100.0,2100.0
WEO2021,NZE_2050,United States,Gas CCGT,Capital costs,$/kW,1000,1000.0,1000.0
WEO2021,NZE_2050,United States,Solar PV,Capital costs,$/kW,1140,620.0,420.0
WEO2021,NZE_2050,United States,Wind onshore,Capital costs,$/kW,1540,1420.0,1320.0
WEO2021,NZE_2050,United States,Wind offshore,Capital costs,$/kW,4040,2080.0,1480.0
WEO2021,NZE_2050,European Union,Nuclear,Capital costs,$/kW,6600,5100.0,4500.0
WEO2021,NZE_2050,European Union,Coal,Capital costs,$/kW,2000,2000.0,2000.0
WEO2021,NZE_2050,European Union,Gas CCGT,Capital costs,$/kW,1000,1000.0,1000.0
WEO2021,NZE_2050,European Union,Solar PV,Capital costs,$/kW,790,460.0,340.0
WEO2021,NZE_2050,European Union,Wind onshore,Capital costs,$/kW,1540,1420.0,1300.0
WEO2021,NZE_2050,European Union,Wind offshore,Capital costs,$/kW,3600,2020.0,1420.0
WEO2021,NZE_2050,China,Nuclear,Capital costs,$/kW,2800,2800.0,2500.0
WEO2021,NZE_2050,China,Coal,Capital costs,$/kW,800,800.0,800.0
WEO2021,NZE_2050,China,Gas CCGT,Capital costs,$/kW,560,560.0,560.0
WEO2021,NZE_2050,China,Solar PV,Capital costs,$/kW,750,400.0,280.0
WEO2021,NZE_2050,China,Wind onshore,Capital costs,$/kW,1220,1120.0,1040.0
WEO2021,NZE_2050,China,Wind offshore,Capital costs,$/kW,2840,1560.0,1000.0
WEO2021,NZE_2050,India,Nuclear,Capital costs,$/kW,2800,2800.0,2800.0
WEO2021,NZE_2050,India,Coal,Capital costs,$/kW,1200,1200.0,1200.0
WEO2021,NZE_2050,India,Gas CCGT,Capital costs,$/kW,700,700.0,700.0
WEO2021,NZE_2050,India,Solar PV,Capital costs,$/kW,580,310.0,320.0
WEO2021,NZE_2050,India,Wind onshore,Capital costs,$/kW,1040,980.0,940.0
WEO2021,NZE_2050,India,Wind offshore,Capital costs,$/kW,2980,1680.0,1180.0
WEO2021,NZE_2050,United States,Nuclear,Capacity factor,%,90,80.0,75.0
WEO2021,NZE_2050,United States,Coal,Capacity factor,%,20,,
WEO2021,NZE_2050,United States,Gas CCGT,Capacity factor,%,55,25.0,
WEO2021,NZE_2050,United States,Solar PV,Capacity factor,%,21,22.0,23.0
WEO2021,NZE_2050,United States,Wind onshore,Capacity factor,%,42,43.0,44.0
WEO2021,NZE_2050,United States,Wind offshore,Capacity factor,%,42,46.0,48.0
WEO2021,NZE_2050,European Union,Nuclear,Capacity factor,%,75,75.0,70.0
WEO2021,NZE_2050,European Union,Coal,Capacity factor,%,20,,
WEO2021,NZE_2050,European Union,Gas CCGT,Capacity factor,%,40,20.0,
WEO2021,NZE_2050,European Union,Solar PV,Capacity factor,%,13,14.0,14.0
WEO2021,NZE_2050,European Union,Wind onshore,Capacity factor,%,29,30.0,31.0
WEO2021,NZE_2050,European Union,Wind offshore,Capacity factor,%,51,56.0,59.0
WEO2021,NZE_2050,China,Nuclear,Capacity factor,%,80,80.0,80.0
WEO2021,NZE_2050,China,Coal,Capacity factor,%,60,,
WEO2021,NZE_2050,China,Gas CCGT,Capacity factor,%,45,35.0,
WEO2021,NZE_2050,China,Solar PV,Capacity factor,%,17,18.0,19.0
WEO2021,NZE_2050,China,Wind onshore,Capacity factor,%,26,27.0,27.0
WEO2021,NZE_2050,China,Wind offshore,Capacity factor,%,34,41.0,43.0
WEO2021,NZE_2050,India,Nuclear,Capacity factor,%,70,70.0,70.0
WEO2021,NZE_2050,India,Coal,Capacity factor,%,50,,
WEO2021,NZE_2050,India,Gas CCGT,Capacity factor,%,55,50.0,
WEO2021,NZE_2050,India,Solar PV,Capacity factor,%,20,21.0,21.0
WEO2021,NZE_2050,India,Wind onshore,Capacity factor,%,26,28.0,29.0
WEO2021,NZE_2050,India,Wind offshore,Capacity factor,%,32,37.0,38.0
WEO2021,NZE_2050,United States,Nuclear,Fuel and O&M,$/MWh,30,30.0,30.0
WEO2021,NZE_2050,United States,Coal,Fuel and O&M,$/MWh,90,170.0,235.0
WEO2021,NZE_2050,United States,Gas CCGT,Fuel and O&M,$/MWh,50,80.0,105.0
WEO2021,NZE_2050,United States,Solar PV,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,NZE_2050,United States,Wind onshore,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,NZE_2050,United States,Wind offshore,Fuel and O&M,$/MWh,35,20.0,15.0
WEO2021,NZE_2050,European Union,Nuclear,Fuel and O&M,$/MWh,35,35.0,35.0
WEO2021,NZE_2050,European Union,Coal,Fuel and O&M,$/MWh,120,205.0,275.0
WEO2021,NZE_2050,European Union,Gas CCGT,Fuel and O&M,$/MWh,65,95.0,120.0
WEO2021,NZE_2050,European Union,Solar PV,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,NZE_2050,European Union,Wind onshore,Fuel and O&M,$/MWh,15,15.0,15.0
WEO2021,NZE_2050,European Union,Wind offshore,Fuel and O&M,$/MWh,15,10.0,5.0
WEO2021,NZE_2050,China,Nuclear,Fuel and O&M,$/MWh,25,25.0,25.0
WEO2021,NZE_2050,China,Coal,Fuel and O&M,$/MWh,75,135.0,195.0
WEO2021,NZE_2050,China,Gas CCGT,Fuel and O&M,$/MWh,75,100.0,120.0
WEO2021,NZE_2050,China,Solar PV,Fuel and O&M,$/MWh,10,5.0,5.0
WEO2021,NZE_2050,China,Wind onshore,Fuel and O&M,$/MWh,15,10.0,10.0
WEO2021,NZE_2050,China,Wind offshore,Fuel and O&M,$/MWh,25,15.0,10.0
WEO2021,NZE_2050,India,Nuclear,Fuel and O&M,$/MWh,30,30.0,30.0
WEO2021,NZE_2050,India,Coal,Fuel and O&M,$/MWh,35,50.0,75.0
WEO2021,NZE_2050,India,Gas CCGT,Fuel and O&M,$/MWh,45,45.0,50.0
WEO2021,NZE_2050,India,Solar PV,Fuel and O&M,$/MWh,5,5.0,5.0
WEO2021,NZE_2050,India,Wind onshore,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,NZE_2050,India,Wind offshore,Fuel and O&M,$/MWh,25,15.0,10.0
WEO2021,NZE_2050,United States,Nuclear,LCOE,$/MWh,105,110.0,110.0
WEO2021,NZE_2050,United States,Coal,LCOE,$/MWh,220,,
WEO2021,NZE_2050,United States,Gas CCGT,LCOE,$/MWh,70,125.0,
WEO2021,NZE_2050,United States,Solar PV,LCOE,$/MWh,50,30.0,20.0
WEO2021,NZE_2050,United States,Wind onshore,LCOE,$/MWh,35,35.0,30.0
WEO2021,NZE_2050,United States,Wind offshore,LCOE,$/MWh,115,60.0,40.0
WEO2021,NZE_2050,European Union,Nuclear,LCOE,$/MWh,150,120.0,115.0
WEO2021,NZE_2050,European Union,Coal,LCOE,$/MWh,250,,
WEO2021,NZE_2050,European Union,Gas CCGT,LCOE,$/MWh,100,115.0,
WEO2021,NZE_2050,European Union,Solar PV,LCOE,$/MWh,55,35.0,25.0
WEO2021,NZE_2050,European Union,Wind onshore,LCOE,$/MWh,55,45.0,40.0
WEO2021,NZE_2050,European Union,Wind offshore,LCOE,$/MWh,75,40.0,25.0
WEO2021,NZE_2050,China,Nuclear,LCOE,$/MWh,65,65.0,60.0
WEO2021,NZE_2050,China,Coal,LCOE,$/MWh,90,,
WEO2021,NZE_2050,China,Gas CCGT,LCOE,$/MWh,90,115.0,
WEO2021,NZE_2050,China,Solar PV,LCOE,$/MWh,40,25.0,15.0
WEO2021,NZE_2050,China,Wind onshore,LCOE,$/MWh,45,40.0,40.0
WEO2021,NZE_2050,China,Wind offshore,LCOE,$/MWh,95,45.0,30.0
WEO2021,NZE_2050,India,Nuclear,LCOE,$/MWh,75,75.0,75.0
WEO2021,NZE_2050,India,Coal,LCOE,$/MWh,65,,
WEO2021,NZE_2050,India,Gas CCGT,LCOE,$/MWh,55,60.0,
WEO2021,NZE_2050,India,Solar PV,LCOE,$/MWh,35,20.0,15.0
WEO2021,NZE_2050,India,Wind onshore,LCOE,$/MWh,50,45.0,40.0
WEO2021,NZE_2050,India,Wind offshore,LCOE,$/MWh,130,70.0,45.0
